Kmeans Type, K Clusters (Data clusters is 4), Points Used 20/80, Points Used Post 20/80, 20/80 Test Correct, Post 20/80 Correct, 20/80 Train Adjusted Rand Score, 20/80 Train Calinski Score, 20/80 Test Adjusted Rand Score, 20/80 Test Calinski Score
hard, 4, 25, 500, 0.7142857142857143, 1.0, 1.0, 1609.2971130254498, 1.0, 1609.2971130254498
soft, 4, 25, 500, 0.45454545454545453, 0.6811989100817438, 0.5656646473882729, 78.75913321951552, 0.5454545454545454, 78.75913321951552
hard, 4, 25, 500, 1.0, 1.0, 1.0, 1532.2853995283826, 1.0, 1532.2853995283826
soft, 4, 25, 500, 0.5, 0.6666666666666666, 0.9357326478149101, 104.57785041958721, 0.0, 104.57785041958721
hard, 4, 25, 500, 1.0, 1.0, 1.0, 1529.2780953123154, 1.0, 1529.2780953123154
soft, 4, 25, 500, 0.38461538461538464, 0.6666666666666666, 0.9224806201550387, 94.37191679627057, 0.4444444444444444, 94.37191679627057
hard, 4, 25, 500, 1.0, 1.0, 1.0, 1867.58350141206, 1.0, 1867.58350141206
soft, 4, 25, 500, 0.7142857142857143, 0.6666666666666666, 0.8083953107273415, 35.76998713836768, 1.0, 35.76998713836768
hard, 4, 25, 500, 0.625, 0.6473906911142454, 0.8832445718967636, 1701.2691802816712, 0.4117647058823529, 1701.2691802816712
soft, 4, 25, 500, 0.625, 0.6666666666666666, 1.0, 1764.6562798822906, 0.4117647058823529, 1764.6562798822906
hard, 4, 50, 500, 1.0, 1.0, 1.0, 3634.8206382120393, 1.0, 3634.8206382120393
soft, 4, 50, 500, 0.7142857142857143, 0.6784260515603799, 0.6774126282425558, 215.10471533326785, 0.8481439820022497, 215.10471533326785
hard, 4, 50, 500, 1.0, 1.0, 1.0, 4447.438854040887, 1.0, 4447.438854040887
soft, 4, 50, 500, 0.5882352941176471, 0.6784260515603799, 0.7232780903147332, 279.87657063912644, 0.45999999999999996, 279.87657063912644
hard, 4, 50, 500, 0.7142857142857143, 1.0, 1.0, 3625.4911465339264, 1.0, 3625.4911465339264
soft, 4, 50, 500, 0.625, 0.6693440428380187, 0.8309178743961353, 117.93036065533752, 0.6341463414634146, 117.93036065533752
hard, 4, 50, 500, 0.7692307692307693, 1.0, 1.0, 3574.6425473947734, 1.0, 3574.6425473947734
soft, 4, 50, 500, 0.5, 0.6693440428380187, 0.8417195438900466, 120.84125446874614, 0.5664739884393064, 120.84125446874614
hard, 4, 50, 500, 1.0, 1.0, 1.0, 3753.241684468033, 1.0, 3753.241684468033
soft, 4, 50, 500, 0.7142857142857143, 0.6784260515603799, 0.6289483699099329, 206.10248110701414, 0.8648648648648649, 206.10248110701414
hard, 4, 75, 500, 1.0, 1.0, 1.0, 6308.1714286021015, 1.0, 6308.1714286021015
soft, 4, 75, 500, 0.625, 0.6775067750677507, 0.680767006578759, 386.7976256205555, 0.5759289176090469, 386.7976256205555
hard, 4, 75, 500, 1.0, 1.0, 1.0, 6458.324489051327, 1.0, 6458.324489051327
soft, 4, 75, 500, 0.7142857142857143, 0.6775067750677507, 0.6387602742428592, 336.21293715424207, 0.7750535586765055, 336.21293715424207
hard, 4, 75, 500, 1.0, 1.0, 1.0, 6137.36035832622, 1.0, 6137.36035832622
soft, 4, 75, 500, 0.6521739130434783, 0.6775067750677507, 0.6685827233909558, 358.9982596425429, 0.6296296296296295, 358.9982596425429
hard, 4, 75, 500, 1.0, 1.0, 1.0, 6435.453369525289, 1.0, 6435.453369525289
soft, 4, 75, 500, 0.625, 0.6775067750677507, 0.6767014450481993, 378.25179423569136, 0.62124248496994, 378.25179423569136
hard, 4, 75, 500, 1.0, 1.0, 1.0, 6921.7632219222105, 1.0, 6921.7632219222105
soft, 4, 75, 500, 0.6521739130434783, 0.6775067750677507, 0.6609334935840586, 363.98790559367893, 0.6679316888045541, 363.98790559367893
hard, 4, 100, 500, 1.0, 1.0, 1.0, 9300.001288905078, 1.0, 9300.001288905078
soft, 4, 100, 500, 0.6451612903225806, 0.6747638326585695, 0.7120927664273882, 570.0919528750857, 0.6579657965796579, 570.0919528750857
hard, 4, 100, 500, 1.0, 1.0, 1.0, 9395.604958088688, 1.0, 9395.604958088688
soft, 4, 100, 500, 0.6666666666666666, 0.6747638326585695, 0.696048268514321, 535.8797928765091, 0.7443291041906959, 535.8797928765091
hard, 4, 100, 500, 1.0, 1.0, 1.0, 9498.58586685051, 1.0, 9498.58586685051
soft, 4, 100, 500, 0.6666666666666666, 0.6747638326585695, 0.6974806925121, 556.5880629554028, 0.6815927067971578, 556.5880629554028
hard, 4, 100, 500, 1.0, 1.0, 1.0, 8689.90106094463, 1.0, 8689.90106094463
soft, 4, 100, 500, 0.6666666666666666, 0.6747638326585695, 0.6951615859498707, 552.5919039615999, 0.6815927067971578, 552.5919039615999
hard, 4, 100, 500, 1.0, 1.0, 1.0, 9259.591163586334, 1.0, 9259.591163586334
soft, 4, 100, 500, 0.5882352941176471, 0.6747638326585695, 0.7485112710568753, 637.3915445418035, 0.49854572875148123, 637.3915445418035
hard, 4, 125, 500, 1.0, 1.0, 1.0, 10996.11309185997, 1.0, 10996.11309185997
soft, 4, 125, 500, 0.5952380952380952, 0.6738544474393531, 0.7442755708643677, 773.9585293224236, 0.5573242711500626, 773.9585293224236
hard, 4, 125, 500, 1.0, 1.0, 1.0, 11728.93627613731, 1.0, 11728.93627613731
soft, 4, 125, 500, 0.6944444444444444, 0.6738544474393531, 0.6791565017135844, 664.4200189741127, 0.7532353586312788, 664.4200189741127
hard, 4, 125, 500, 1.0, 1.0, 1.0, 11469.433496500074, 1.0, 11469.433496500074
soft, 4, 125, 500, 0.6756756756756757, 0.6738544474393531, 0.6927484102092789, 690.4280413310386, 0.8440424204616345, 690.4280413310386
hard, 4, 125, 500, 1.0, 1.0, 1.0, 10899.406310274222, 1.0, 10899.406310274222
soft, 4, 125, 500, 0.7142857142857143, 0.6738544474393531, 0.6685742174979, 627.9886992004008, 0.8031496062992126, 627.9886992004008
hard, 4, 125, 500, 1.0, 1.0, 1.0, 11919.592413533312, 1.0, 11919.592413533312
soft, 4, 125, 500, 0.6097560975609756, 0.6738544474393531, 0.7284635458553878, 753.9801293059617, 0.5621237000547346, 753.9801293059617
hard, 4, 150, 500, 1.0, 1.0, 1.0, 13567.798594393125, 1.0, 13567.798594393125
