Kmeans Type, data clusters, k clusters, Points Used 20/80, Points Used Post 20/80, 20/80 Test Correct, Post 20/80 Correct, 20/80 Train Adjusted Rand Score, 20/80 Train Calinski Score, 20/80 Test Adjusted Rand Score, 20/80 Test Calinski Score
hard,2,2,25,500,1,0.998,1,46.9273152,1,46.9273152
soft,2,2,25,500,1,0.998,1,46.9273152,1,46.9273152
hard,2,2,25,500,1,0.998,1,57.14489279,1,57.14489279
soft,2,2,25,500,1,0.998,1,57.14489279,1,57.14489279
hard,2,2,25,500,1,0.998,1,50.17810699,1,50.17810699
soft,2,2,25,500,1,0.998,1,50.17810699,1,50.17810699
hard,2,2,25,500,1,0.998,1,56.41417233,1,56.41417233
soft,2,2,25,500,1,0.996,1,56.41417233,1,56.41417233
hard,2,2,25,500,1,0.998,1,56.94597503,1,56.94597503
soft,2,2,25,500,1,0.998,1,56.94597503,1,56.94597503
hard,2,3,25,500,0,0,0.540649949,37.31255738,1,37.31255738
soft,2,3,25,500,0,0,0.529332282,36.85505761,1,36.85505761
hard,2,3,25,500,0,0,0.743243243,40.6317145,0.545454545,40.6317145
soft,2,3,25,500,0,0,0.603049125,39.36295912,0.545454545,39.36295912
hard,2,3,25,500,0,0,0.637282426,38.17171313,0.444444444,38.17171313
soft,2,3,25,500,0,0,0.637282426,38.17171313,0.444444444,38.17171313
hard,2,3,25,500,0,0,0.572120257,48.20143323,0.782608696,48.20143323
soft,2,3,25,500,0,0,0.539822012,46.9682427,1,46.9682427
hard,2,3,25,500,0,0,0.603049125,42.96380606,0.545454545,42.96380606
soft,2,3,25,500,0,0,0.603049125,42.96380606,0.545454545,42.96380606
hard,2,4,25,500,0,0,0.376202876,33.07136642,0.545454545,33.07136642
soft,2,4,25,500,0,0,0.451240231,32.94843484,1,32.94843484
hard,2,4,25,500,0,0,0.568181818,37.70628827,0.285714286,37.70628827
soft,2,4,25,500,0,0,0.512820513,38.47604604,0.285714286,38.47604604
hard,2,4,25,500,0,0,0.374503349,37.72370768,0.444444444,37.72370768
soft,2,4,25,500,0,0,0.364007716,36.20034284,0.285714286,36.20034284
hard,2,4,25,500,0,0,0.451240231,42.18281234,0.782608696,42.18281234
soft,2,4,25,500,0,0,0.462243858,41.03372261,0.782608696,41.03372261
hard,2,4,25,500,0,0,0.448491747,42.22413788,0.285714286,42.22413788
soft,2,4,25,500,0,0,0.426863973,42.37008207,0.285714286,42.37008207
hard,2,5,25,500,0,0,0.274478514,37.57075694,0.545454545,37.57075694
soft,2,5,25,500,0,0,0.274478514,37.57075694,0.545454545,37.57075694
hard,2,5,25,500,0,0,0.424242424,42.18745003,0,42.18745003
soft,2,5,25,500,0,0,0.359062321,38.18503688,0,38.18503688
hard,2,5,25,500,0,0,0.32892788,41.31163969,0.444444444,41.31163969
soft,2,5,25,500,0,0,0.318414759,41.50643962,0.137931034,41.50643962
hard,2,5,25,500,0,0,0.362850972,46.00646643,0.285714286,46.00646643
soft,2,5,25,500,0,0,0.318414759,45.77224213,0.285714286,45.77224213
hard,2,5,25,500,0,0,0.446601942,43.71188949,0,43.71188949
soft,2,5,25,500,0,0,0.359062321,37.605153,0,37.605153
hard,2,2,50,500,1,0.998,1,139.4691895,1,139.4691895
soft,2,2,50,500,1,0.998,1,139.4691895,1,139.4691895
hard,2,2,50,500,1,0.998,1,134.3231814,1,134.3231814
soft,2,2,50,500,1,0.998,1,134.3231814,1,134.3231814
hard,2,2,50,500,1,0.998,1,139.0526976,1,139.0526976
soft,2,2,50,500,1,0.998,1,139.0526976,1,139.0526976
hard,2,2,50,500,1,0.998,1,133.9702426,1,133.9702426
soft,2,2,50,500,1,0.998,1,133.9702426,1,133.9702426
hard,2,2,50,500,1,0.998,1,141.3646,1,141.3646
soft,2,2,50,500,1,0.998,1,141.3646,1,141.3646
hard,2,3,50,500,0,0,0.715948593,95.05940755,0.911242604,95.05940755
soft,2,3,50,500,0,0,0.715948593,95.05940755,0.911242604,95.05940755
hard,2,3,50,500,0,0,0.688181422,92.23339823,1,92.23339823
soft,2,3,50,500,0,0,0.688181422,92.23339823,1,92.23339823
hard,2,3,50,500,0,0,0.682170543,99.97109533,0.587155963,99.97109533
soft,2,3,50,500,0,0,0.682170543,99.97109533,0.587155963,99.97109533
hard,2,3,50,500,0,0,0.621088948,97.79218123,0.864864865,97.79218123
soft,2,3,50,500,0,0,0.621088948,97.79218123,0.864864865,97.79218123
hard,2,3,50,500,0,0,0.741721854,99.26436976,0.864864865,99.26436976
soft,2,3,50,500,0,0,0.741721854,99.26436976,0.864864865,99.26436976
hard,2,4,50,500,0,0,0.473253493,85.81671021,0.482758621,85.81671021
soft,2,4,50,500,0,0,0.480758093,88.16224555,0.482758621,88.16224555
hard,2,4,50,500,0,0,0.501212675,88.86162929,0.366197183,88.86162929
soft,2,4,50,500,0,0,0.488188976,86.5930065,0.398931434,86.5930065
hard,2,4,50,500,0,0,0.451582806,99.87787098,0.39628483,99.87787098
soft,2,4,50,500,0,0,0.493168944,96.14104493,0.39628483,96.14104493
hard,2,4,50,500,0,0,0.433883476,92.66038147,0.634146341,92.66038147
soft,2,4,50,500,0,0,0.503816794,91.70497476,0.634146341,91.70497476
hard,2,4,50,500,0,0,0.503697781,97.85935734,0.444444444,97.85935734
soft,2,4,50,500,0,0,0.482634491,96.84915809,0.492307692,96.84915809
hard,2,5,50,500,0,0,0.370661546,87.90062104,0.237288136,87.90062104
soft,2,5,50,500,0,0,0.370661546,87.90062104,0.237288136,87.90062104
hard,2,5,50,500,0,0,0.409937888,88.78478753,0.213155704,88.78478753
soft,2,5,50,500,0,0,0.409937888,88.78478753,0.213155704,88.78478753
hard,2,5,50,500,0,0,0.369539078,102.4866383,0.299065421,102.4866383
soft,2,5,50,500,0,0,0.361680807,101.1686008,0.299065421,101.1686008
hard,2,5,50,500,0,0,0.334541688,99.66974047,0.539877301,99.66974047
soft,2,5,50,500,0,0,0.334541688,99.66974047,0.539877301,99.66974047
hard,2,5,50,500,0,0,0.353821486,93.83367138,0.347826087,93.83367138
soft,2,5,50,500,0,0,0.414023372,75.60243227,0.492307692,75.60243227
hard,2,2,75,500,1,0.998,1,232.1830273,1,232.1830273
