dataGeneratedCentroids, kmeansClusters, standardDeviation, pointsTrain, pointsTest, pointsTotal, trainAdjustedRand, trainCalinski, testAdjustedRand, testAdjustedRandRank, testAdjustedRandRankMatchesDataCentroidCount, testCalinski, testCalinskiRank, testCalinskiRankMatchesDataCentroidCount
2, 2, 0.0, 5, 20, 25, 1.0, 1.0, 1.0, 1, True, 1.0, 1, True
2, 3, 0.0, 5, 20, 25, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 4, 0.0, 5, 20, 25, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 2, 0.0, 10, 40, 50, 1.0, 1.0, 1.0, 1, True, 1.0, 1, True
2, 3, 0.0, 10, 40, 50, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 4, 0.0, 10, 40, 50, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 5, 0.0, 10, 40, 50, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 6, 0.0, 10, 40, 50, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 7, 0.0, 10, 40, 50, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 8, 0.0, 10, 40, 50, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 9, 0.0, 10, 40, 50, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 2, 0.0, 15, 60, 75, 1.0, 1.0, 1.0, 1, True, 1.0, 1, True
2, 3, 0.0, 15, 60, 75, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 4, 0.0, 15, 60, 75, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 5, 0.0, 15, 60, 75, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 6, 0.0, 15, 60, 75, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 7, 0.0, 15, 60, 75, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 8, 0.0, 15, 60, 75, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 9, 0.0, 15, 60, 75, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 10, 0.0, 15, 60, 75, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 2, 0.0, 20, 80, 100, 1.0, 1.0, 1.0, 1, True, 1.0, 1, True
2, 3, 0.0, 20, 80, 100, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 4, 0.0, 20, 80, 100, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 5, 0.0, 20, 80, 100, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 6, 0.0, 20, 80, 100, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 7, 0.0, 20, 80, 100, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 8, 0.0, 20, 80, 100, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
2, 9, 0.0, 20, 80, 100, 1.0, 1.0, 1.0, 1, False, 1.0, 1, False
